List Number,Agency Phone,Listing Agent,Co-Listing Agent,Property Type,Card Format,Book Section,Property Sub Type,Listing Contract Date,Back on Market Date,Status,Status Change Timestamp,Original List Price,List Price,Living Area Source,MLS Area Major,Lock Box Number,Street Direction Prefix,Street Direction Suffix,Non-Representative Compensation Type,City,State,County,Country,Postal Code,Stories Total,Stories,Latitude,Longitude,GeoID,Living Area,Year Built,Direction Faces,Lot Size Dimensions,Bedrooms Total,Bathrooms Total,Bathrooms Full,Bathrooms Half,Parcel Number,Owner Name,mod_timestamp,Association Fee Frequency,Occupant Type,Listing Agreement,Association Fee 2 Frequency,Listing Service,Lease Term,Association Fee,Building Area Total,Garage Spaces,Association Fee 2,List Price/SqFt,Availability Date,Start Showing Date,Association Name,Association YN,Carport YN,Property Attached YN,Furnished,Lot Size Acres,Contingent Date,Senior Community YN,Waterfront YN,Water Frontage Feet,Accessory Dwelling Unit Y/N,Rental Service,Garage YN,Carport Spaces,Non-Representative Compensation,Entry Level,Accessibility Features YN,Unit Type,Comp Sale YN,Price Change Timestamp,Days on Market,Rooms,Features
gAAAAABm9wKywPYy3oo5nCa1FmIvDS0R2TowpSFwMv4sX89TayLTinXB7rwsz7rF2m96iX4hC1AgqWreJRrU7WTcg9FOnkc8Zw==,Agency_Phone_Index_674,Listing_Agent_Index_1430,,Rental,Residential Lease,Condominium,CN,6/7/24,,A,5/28/24,2000,1900,Builder,301,,,,%,St Johns,FL,St. Johns,US,32259,2,,30.08875799,-81.58844861,1.21E+11,1447,2015,,,3,2,2,0,gAAAAABm9wKyV-4Y-Z2JquemRgbie1U8Y4ZpiWhP3Hb8Wy96gCtSKp6MQOGv2KeuwOc1qE7osRRP4qmrWCRTawemnteWI7hVeQ==,,9/18/24 21:56,,,Excl Right to Lease,,Full Service,12 Months,,,1,,1.31,,,,Y,N,,,0,,N,N,,,O,Y,,0,1,N,,,9/3/24 15:15,56,,"Additional Fee Includes|Lease Prep|Yes;Additional Lease Terms|12 Months|Yes;Association Amenities|Basketball Court|Yes;Association Amenities|Playground|Yes;Association Amenities|Park|Yes;Association Amenities|Fitness Center|Yes;Association Amenities|Dog Park|Yes;Association Amenities|Clubhouse|Yes;Association Fee Includes|Maintenance Grounds|Yes;Association Fee Includes|Trash|Yes;Deposits and Fees|Security Deposit|2,000;Deposits and Fees|Additional Fee|100;Deposits and Fees|Application Fee|55;Exterior Features|Balcony|Yes;Interior Features|Breakfast Bar|Yes;Interior Features|Split Bedrooms|Yes;Interior Features|Primary Bathroom - Shower No Tub|Yes;Interior Features|Walk-In Closet(s)|Yes;Interior Features|Vaulted Ceiling(s)|Yes;Interior Features|Ceiling Fan(s)|Yes;Laundry Features|Electric Dryer Hookup|Yes;Laundry Features|Washer Hookup|Yes;Laundry Features|Lower Level|Yes;Levels|Two|Yes;Owner Pays|Association Fees|Yes;Owner Pays|Pest Control|Yes;Owner Pays|HVAC Maintenance|Yes;Patio And Porch Features|Screened|Yes;Pets Allowed|No|Yes;Rent Includes|None|Yes;Road Frontage Type|City Street|Yes;Road Surface Type|Asphalt|Yes;Security Features|Carbon Monoxide Detector(s)|Yes;Security Features|Smoke Detector(s)|Yes;Security Features|Fire Sprinkler System|Yes;Sewer|Public Sewer|Yes;Special Listing Conditions|Smoking Prohibited|Yes;Tenant Pays|All Utilities|Yes;View|Protected Preserve|Yes;Rental Commission Term|1 Months Rent|Yes;Water Source|Public|Yes;Cooling|Central Air|Yes;Cooling|Electric|Yes;Heating|Central|Yes;Heating|Electric|Yes;Pool Features|Community|Yes;Utilities|Cable Available|Yes;Utilities|Separate Water Meters|Yes;Utilities|Water Connected|Yes;Utilities|Sewer Connected|Yes;Utilities|Electricity Connected|Yes;Showing Requirements|Appointment Only|Yes;Showing Requirements|Showing Service|Yes;Showing Requirements|No Sign|Yes;Showing Requirements|Combination Lock Box|Yes;Parking Features|Additional Parking|Yes;Parking Features|Garage|Yes;Appliances|Dishwasher|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Ice Maker|Yes;Appliances|Electric Water Heater|Yes;Appliances|Electric Range|Yes;"
gAAAAABm9wKy059I2VlxqjTSkMOIP8i9eBB-BpU3rLrSX8uLElGwqU1CEvJ5uS7ACnm3XuuL9ShSvvsImwG9tflmFvHz1nvP4g==,Agency_Phone_Index_702,Listing_Agent_Index_1064,,Rental,Residential Lease,Single Family Residence,SF,7/6/24,,A,8/10/24,3200,3150,Public Records,301,,,,%,St Johns,FL,St. Johns,US,32259,1,,30.06986707,-81.63655229,1.21E+11,2636,2010,,,3,3,2,1,gAAAAABm9wKyZHh0-vrTsWb5OdvIxl659UGi-gb-h6SSZlaPhu0eCFSDc4-aTL8H397eFF6Eu0k07gpliaZJlmlJpn0ZNuJO2g==,,,,,Excl Right to Lease,,Full Service,12 Months,,,3,,1.19,7/15/24,7/17/24,,Y,N,,,0.29,,N,N,,,N,Y,,0,,N,,,,9,,"Additional Fee Includes|Lease Prep|Yes;Additional Lease Terms|12 Months|Yes;Architectural Style|Contemporary|Yes;Association Amenities|Gated|Yes;Association Amenities|Playground|Yes;Deposits and Fees|Security Deposit|3,150;Deposits and Fees|Additional Fee|125;Deposits and Fees|Application Fee|75;Fireplace Features|Fireplaces Total|1;Interior Features|Breakfast Bar|Yes;Interior Features|Split Bedrooms|Yes;Interior Features|Primary Bathroom -Tub with Separate Shower|Yes;Interior Features|Walk-In Closet(s)|Yes;Interior Features|Pantry|Yes;Interior Features|Kitchen Island|Yes;Interior Features|Entrance Foyer|Yes;Interior Features|Ceiling Fan(s)|Yes;Laundry Features|In Unit|Yes;Levels|One|Yes;Patio And Porch Features|Covered|Yes;Patio And Porch Features|Rear Porch|Yes;Sewer|Public Sewer|Yes;Special Listing Conditions|Smoking Prohibited|Yes;Tenant Pays|All Utilities|Yes;Rental Commission Term|Specific $ Amount|20;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Electric|Yes;Pool Features|Community|Yes;Utilities|Cable Available|Yes;Utilities|Water Available|Yes;Utilities|Sewer Available|Yes;Utilities|Natural Gas Available|Yes;Utilities|Electricity Available|Yes;Showing Requirements|24 Hour Notice|Yes;Showing Requirements|Showing Service|Yes;Showing Requirements|Lockbox|Yes;Showing Requirements|Showing Contact Phone|9044131144;Showing Requirements|Appointment Only|Yes;Parking Features|Garage|Yes;Parking Features|Garage Door Opener|Yes;Appliances|Dishwasher|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Gas Cooktop|Yes;Appliances|Electric Oven|Yes;"
gAAAAABm9wKyxY4_yQBTDd-0pHl101Hm-gwG8pcjtPdhrvpIHDH-oZbPAuZwce3762hzJTuYAAUgQlk240oXNmYmsT4SVpNnsQ==,Agency_Phone_Index_829,Listing_Agent_Index_1252,,Rental,Residential Lease,Single Family Residence,SF,5/31/24,,A,6/21/24,2400,2200,Public Records,14,,,N,%,Jacksonville,FL,Duval,US,32258,1,,30.15035559,-81.58387942,1.20E+11,1823,2003,,,3,2,2,0,gAAAAABm9wKydO_QoJHYfoBbkkJ_bZlUW4EeOtVSHue6MVCJCqHJzwcw9Y_NLCuZ_id9IiVTPeBtU5yFHrMxJqV4SGxiAzKlkw==,,9/27/24 2:36,,,Exclusive Agency,,Full Service,12 Months,,,2,,1.21,,,,N,N,,,0.33,,N,Y,,,O,Y,,10,,N,,,10/25/24 2:36,33,,Rental Commission Term|1 Months Rent|Yes;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|None|Yes;Utilities|Electricity Available|Yes;Showing Requirements|Showing Service|Yes;Parking Features|Garage|Yes;Appliances|Dishwasher|Yes;Appliances|Refrigerator|Yes;Appliances|Electric Range|Yes;
gAAAAABm9wKyRa_SKi2Bs0KQ9SZVxHuZX3npD2ChgvU9ZtowV-52fwdbatYtn84dmB0OWNZjmQzga0AXWq8E9ZdbgTyOCZsMVA==,Agency_Phone_Index_664,Listing_Agent_Index_1431,Listing_Agent_Index_1518,Rental,Residential Lease,Condominium,CN,5/15/24,,A,6/25/24,2000,2000,Appraiser,31,,,,$,Jacksonville,FL,Duval,US,32204,4,4,30.31418844,-81.68698359,1.20E+11,1134,2007,West,,2,2,2,0,gAAAAABm9wKyzJUu9XtV108DPSnCcHE6dXaMbVWpua6w95LxQSmfQO-yPdBJ--WV0fqNfZOdyViT3-dK5qFcBr_btcYsYil6zg==,,,,Vacant,Excl Right to Lease,,Full Service,12 Months,,,2,,1.76,6/25/24,,,N,N,,U,0.01,,N,N,,N,N,Y,,0,1,Y,Interior Unit,N,,57,,"Accessibility Features|Common Area|Yes;Additional Fee Includes|Lease Prep|Yes;Additional Lease Terms|12 Months|Yes;Architectural Style|Contemporary|Yes;Association Amenities|Trash|Yes;Association Amenities|Management - Part Time|Yes;Association Fee Includes|Sewer|Yes;Association Fee Includes|Water|Yes;Deposits and Fees|Security Deposit|2,000;Deposits and Fees|Additional Fee|75;Deposits and Fees|Application Fee|75;Exterior Features|Balcony|Yes;Interior Features|Kitchen Island|Yes;Interior Features|Split Bedrooms|Yes;Laundry Features|Electric Dryer Hookup|Yes;Laundry Features|Washer Hookup|Yes;Levels|One|Yes;Owner Pays|Association Fees|Yes;Owner Pays|Taxes|Yes;Owner Pays|Pest Control|Yes;Owner Pays|HVAC Maintenance|Yes;Patio And Porch Features|Patio|Yes;Pets Allowed|No|Yes;Rent Includes|Management|Yes;Rent Includes|Water|Yes;Rent Includes|Trash Collection|Yes;Rent Includes|Sewer|Yes;Road Surface Type|Asphalt|Yes;Security Features|Key Card Entry|Yes;Security Features|Smoke Detector(s)|Yes;Sewer|Public Sewer|Yes;Special Listing Conditions|Smoking Prohibited|Yes;Tenant Pays|Cable TV|Yes;Tenant Pays|Telephone|Yes;Tenant Pays|Electricity|Yes;Rental Commission Term|Specific $ Amount|0;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|None|Yes;Utilities|Cable Available|Yes;Showing Requirements|Lockbox|Yes;Showing Requirements|Showing Service|Yes;Showing Requirements|Restricted Hours|Yes;Showing Requirements|No Sign|Yes;Parking Features|Garage|Yes;Appliances|Dryer|Yes;Appliances|Washer|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Electric Range|Yes;Appliances|Dishwasher|Yes;"
gAAAAABm9wKyJmonwyeO3GHSZI8LJOv5AKemF3TRvbAiPkWXMH3kLR23FGzkWSRJMyz6L7_afXEz21ui9aftIgwnj7gAZZsV3g==,Agency_Phone_Index_668,Listing_Agent_Index_988,Co-Listing_Agent_Index_1636,Rental,Residential Lease,Single Family Residence,SF,6/29/24,,A,6/25/24,3300,3000,Public Records,252,,,,$,Ponte Vedra Bch,FL,St. Johns,US,32082,1,1,30.22973893,-81.38063639,1.21E+11,1659,1975,West,,3,2,2,0,gAAAAABm9wKycOArRC3_9-DmVP6xuT43gollPfUJyxjQ6qE7rSprxDg9ZKsqMRVA_YrFrJM86_RB4nX7E7TvlbdMjDiMuXS4MQ==,,9/6/24 10:59,,,Excl Right to Lease,,Full Service,12 Months,,,2,,1.81,8/5/24,,,N,N,,U,,,N,N,,,O,Y,,0,,N,,,10/26/24 10:58,49,,"Additional Fee Includes|Other|Yes;Additional Lease Terms|12 Months|Yes;Architectural Style|Ranch|Yes;Deposits and Fees|Security Deposit|3,400;Deposits and Fees|Additional Fee|125;Deposits and Fees|Pet Fee/Deposit|500;Deposits and Fees|Application Fee|75;Fencing|Back Yard|Yes;Interior Features|Breakfast Bar|Yes;Interior Features|Primary Bathroom - Shower No Tub|Yes;Interior Features|Primary Downstairs|Yes;Interior Features|Eat-in Kitchen|Yes;Levels|One|Yes;Owner Pays|None|Yes;Patio And Porch Features|Patio|Yes;Pets Allowed|Breed Restrictions|Yes;Pets Allowed|Yes|Yes;Pets Allowed|Number Limit|Yes;Rent Includes|None|Yes;Road Surface Type|Asphalt|Yes;Showing Considerations|Occupied|Yes;Special Listing Conditions|Third Party Approval|Yes;Special Listing Conditions|Smoking Prohibited|Yes;Tenant Pays|All Utilities|Yes;Rental Commission Term|Specific $ Amount|300;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|None|Yes;Utilities|Cable Available|Yes;Showing Requirements|24 Hour Notice|Yes;Showing Requirements|Showing Service|Yes;Showing Requirements|Appointment Only|Yes;Parking Features|Attached|Yes;Parking Features|Garage|Yes;Appliances|Dishwasher|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Electric Range|Yes;"
gAAAAABm9wKyorOPDGICFNE0MqZ7gb4Zcyy4UsYE_XmHfrepcWzk0scI0E9WNID6xBXNmAvY7lGL4II9IbIS_f8Lj6GViyt0ZA==,Agency_Phone_Index_727,Listing_Agent_Index_1127,Listing_Agent_Index_1359,Rental,Residential Lease,Single Family Residence,SF,6/5/24,,A,7/2/24,4200,3995,Public Records,214,,,,%,Jacksonville Bch,FL,Duval,US,32250,1,,30.26283494,-81.40122065,1.20E+11,1278,1993,,,4,2,2,0,gAAAAABm9wKyiE4C4oWvJffEeQE7UxLlEp9xhUQpc48WSPbL0AOl79h2pnqpxHAlKDzymv0vZK-vVuDrQZTrJj1dcxsRR8XktQ==,,9/12/24 0:28,,,Excl Right to Lease,,Full Service,6 Months,,,2,,3.13,6/7/24,6/15/24,,N,N,,F,0.12,,N,N,,,N,Y,,0,,N,,,9/22/24 23:52,58,Primary Bedroom:|||||;Bedroom 2:|||||;Bedroom 3:|||||;Bedroom 4:|||||;Kitchen:|||||;Living Room:|||||;,Additional Lease Terms|6 Months|Yes;Additional Lease Terms|12 Months|Yes;Exterior Features|Fire Pit|Yes;Fencing|Back Yard|Yes;Fencing|Fenced|Yes;Fencing|Wood|Yes;Interior Features|Breakfast Bar|Yes;Interior Features|Split Bedrooms|Yes;Interior Features|Primary Bathroom - Tub with Shower|Yes;Laundry Features|In Garage|Yes;Patio And Porch Features|Covered|Yes;Patio And Porch Features|Deck|Yes;Pets Allowed|Breed Restrictions|Yes;Pets Allowed|Yes|Yes;Pets Allowed|Size Limit|Yes;Pets Allowed|Number Limit|Yes;Rent Includes|None|Yes;Room Types|Bedroom 2|Yes;Room Types|Primary Bedroom Level|First;Room Types|Primary Bedroom|Yes;Room Types|Living Room Level|First;Room Types|Living Room|Yes;Room Types|Kitchen Level|First;Room Types|Kitchen|Yes;Room Types|Bedroom 4 Level|First;Room Types|Bedroom 4|Yes;Room Types|Bedroom 3 Level|First;Room Types|Bedroom 3|Yes;Room Types|Bedroom 2 Level|First;Security Features|Smoke Detector(s)|Yes;Tenant Pays|All Utilities|Yes;Rental Commission Term|1 Months Rent|Yes;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|None|Yes;Utilities|Cable Connected|Yes;Utilities|Water Connected|Yes;Utilities|Sewer Connected|Yes;Utilities|Electricity Connected|Yes;Showing Requirements|Appointment Only|Yes;Showing Requirements|Video Surveillance|Yes;Showing Requirements|Showing Service|Yes;Showing Requirements|Combination Lock Box|Yes;Parking Features|Additional Parking|Yes;Parking Features|Garage Door Opener|Yes;Parking Features|Garage|Yes;Parking Features|Attached|Yes;Appliances|Convection Oven|Yes;Appliances|Washer|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Ice Maker|Yes;Appliances|Electric Water Heater|Yes;Appliances|Electric Range|Yes;Appliances|Dishwasher|Yes;Appliances|Disposal|Yes;Appliances|Dryer|Yes;
gAAAAABm9wKyYkhpsgPhaLRMnQIwk-ezyLj4zvpRx-bNEotmyLh17w2UdxN33-XfW9Dz_-URQnJXj3bPqupRgvi1Wis2E00ISA==,Agency_Phone_Index_709,Listing_Agent_Index_1039,Co-Listing_Agent_Index_1640,Rental,Residential Lease,Single Family Residence,SF,5/19/24,,A,6/2/24,2400,1985,Appraiser,163,,,,%,Green Cove Spr,FL,Clay,US,32043,1,1,30.03018691,-81.78121205,1.20E+11,1601,2020,,,3,2,2,0,gAAAAABm9wKyJIvfnVMfeUlFPjBoHA6Rz01Da9_tHXIqW9-cf4pEYFlASZM0Euti5aDNCV5fyz0sYszl53OSllhazFQ-mxnzq2xUCDu9z2rWgFlkyDxQdbE=,,8/31/24 6:50,,,Excl Right to Lease,,Full Service,12 Months,,,3,,1.24,7/2/24,,,N,N,,U,0.13,,N,N,,,O,Y,,10,,Y,,,,79,Utility Room:|||||;Family Room:|||||;Dining Room:|||||;Kitchen:|||||;Primary Bedroom:|||||;Bedroom 1:|||||;Bedroom 2:|||||;Other:|||||;,"Accessibility Features|Accessible Doors|Yes;Additional Lease Terms|7 Months|Yes;Additional Lease Terms|Negotiable|Yes;Additional Lease Terms|12 Months|Yes;Association Amenities|Clubhouse|Yes;Association Amenities|Children's Pool|Yes;Association Amenities|Tennis Court(s)|Yes;Association Amenities|Jogging Path|Yes;Association Amenities|Fitness Center|Yes;Deposits and Fees|Security Deposit|1,985;Deposits and Fees|Pet Fee/Deposit|300;Deposits and Fees|Application Fee|50;Fencing|Other|Yes;Fencing|Vinyl|Yes;Interior Features|Breakfast Bar|Yes;Interior Features|Split Bedrooms|Yes;Interior Features|Primary Bathroom - Shower No Tub|Yes;Interior Features|Walk-In Closet(s)|Yes;Interior Features|Pantry|Yes;Interior Features|Entrance Foyer|Yes;Laundry Features|In Unit|Yes;Levels|One|Yes;Owner Pays|Association Fees|Yes;Owner Pays|Trash Collection|Yes;Owner Pays|Taxes|Yes;Owner Pays|Repairs|Yes;Owner Pays|Management|Yes;Patio And Porch Features|Front Porch|Yes;Patio And Porch Features|Screened|Yes;Pets Allowed|Cats OK|Yes;Pets Allowed|Yes|Yes;Pets Allowed|Number Limit|Yes;Pets Allowed|Dogs OK|Yes;Rent Includes|Management|Yes;Rent Includes|Trash Collection|Yes;Road Surface Type|Asphalt|Yes;Room Types|Bedroom 1|Yes;Room Types|Other Room|Yes;Room Types|Other Room Level|First;Room Types|Utility Room|Yes;Room Types|Primary Bedroom Level|First;Room Types|Primary Bedroom|Yes;Room Types|Kitchen Level|First;Room Types|Kitchen|Yes;Room Types|Family Room Level|First;Room Types|Family Room|Yes;Room Types|Dining Room Level|First;Room Types|Dining Room|Yes;Room Types|Bedroom 2 Level|First;Room Types|Bedroom 2|Yes;Room Types|Bedroom 1 Level|First;Security Features|Smoke Detector(s)|Yes;Security Features|Security System Owned|Yes;Sewer|Public Sewer|Yes;Showing Considerations|Occupied|Yes;Special Listing Conditions|Third Party Approval|Yes;Special Listing Conditions|Smoking Prohibited|Yes;Special Listing Conditions|Section 8|Yes;Tenant Pays|All Utilities|Yes;View|Protected Preserve|Yes;Rental Commission Term|1 Months Rent|Yes;Water Source|Public|Yes;Cooling|Central Air|Yes;Cooling|Electric|Yes;Heating|Central|Yes;Heating|Heat Pump|Yes;Heating|Electric|Yes;Pool Features|Community|Yes;Utilities|Cable Available|Yes;Utilities|Water Available|Yes;Utilities|Sewer Available|Yes;Utilities|Electricity Available|Yes;Showing Requirements|Appointment Only|Yes;Showing Requirements|No Sign|Yes;Parking Features|Attached|Yes;Parking Features|Garage Door Opener|Yes;Parking Features|Garage|Yes;Appliances|Dryer|Yes;Appliances|Washer|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Ice Maker|Yes;Appliances|Electric Range|Yes;Appliances|Dishwasher|Yes;Appliances|Disposal|Yes;"
gAAAAABm9wKy2pBG3Yq6ir5yjBO6J8ZuXnehhCrK3WP_OZotfRy6HmR2jRyZBmxVBGyxkte2scKlRXh73pNTS3i7vgku_nTPNw==,Agency_Phone_Index_673,Listing_Agent_Index_1053,,Rental,Residential Lease,Condominium,CN,5/4/24,,A,5/12/24,2100,2000,Appraiser,214,,,S,%,Jacksonville Bch,FL,Duval,US,32250,3,1,30.270381,-81.41480397,1.20E+11,704,1982,,,2,1,1,0,gAAAAABm9wKyQaMgA8cLJfrZK-G6F8Ol-yd8bJLjHIX2e3qS-Ea71kGi8gmaoZP7ZiSHtxY8wBiR8LNcIONxC8P6F-RrItn3xA==,,,,,Exclusive Agency,,Entry Only,12 Months,,,,,2.84,,5/4/24,,N,Y,,,0.01,,N,N,,,,N,1,0,,N,,,,58,,"Additional Fee Includes|Lease Prep|Yes;Additional Lease Terms|12 Months|Yes;Architectural Style|Other|Yes;Deposits and Fees|Security Deposit|2,100;Deposits and Fees|Additional Fee|125;Deposits and Fees|Pet Fee/Deposit|25;Deposits and Fees|Application Fee|75;Exterior Features|Other|Yes;Levels|Three Or More|Yes;Owner Pays|Association Fees|Yes;Patio And Porch Features|Rear Porch|Yes;Pets Allowed|Breed Restrictions|Yes;Security Features|Other|Yes;Sewer|Public Sewer|Yes;Tenant Pays|All Utilities|Yes;View|Beach|Yes;Rental Commission Term|Specific $ Amount|20;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|None|Yes;Utilities|Other|Yes;Showing Requirements|Showing Contact Phone|904-473-1066;Parking Features|Carport|Yes;Appliances|Electric Oven|Yes;"
gAAAAABm9wKycNdG0lEQGK0L1mmkbukfQj3Mw2ncCdcig7OGausJ7p_qoLhUKZEOmAI7J5N-doVMIICMR-xs9GSYPRs8RkXRFA==,Agency_Phone_Index_656,Listing_Agent_Index_1173,,Rental,Residential Lease,Single Family Residence,SF,7/6/24,,A,7/20/24,1400,1400,Assessor,481,,,,%,Yulee,FL,Nassau,US,32097,1,1,30.62493548,-81.61265229,1.21E+11,824,1982,,,2,1,1,0,gAAAAABm9wKy9YgygccpyiReirxBmQPdV0T8STPlo9DsNpC_d11m3_6Dk8wJMKdb8tppQc-0zPEunR7Q4IFNrW3LRK9mOPAGW2L2TC4a2KfVkTc1HH_RBf8=,,,,Tenant,Exclusive Agency,,Full Service,12 Months,,,,,1.7,10/2/24,,,N,Y,,U,2,,N,N,,N,,N,2,0,,N,,N,,14,,"Additional Fee Includes|Lease Prep|Yes;Additional Lease Terms|12 Months|Yes;Architectural Style|Cottage|Yes;Deposits and Fees|Security Deposit|1,400;Deposits and Fees|Application Fee|65;Fencing|Chain Link|Yes;Interior Features|Primary Bathroom - Tub with Shower|Yes;Laundry Features|Electric Dryer Hookup|Yes;Laundry Features|Washer Hookup|Yes;Levels|One|Yes;Patio And Porch Features|Front Porch|Yes;Patio And Porch Features|Screened|Yes;Patio And Porch Features|Rear Porch|Yes;Patio And Porch Features|Porch|Yes;Pets Allowed|No|Yes;Road Surface Type|Asphalt|Yes;Sewer|Septic Tank|Yes;Special Listing Conditions|Smoking Prohibited|Yes;Tenant Pays|All Utilities|Yes;Rental Commission Term|Specific $ Amount|150;Water Source|Well|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|None|Yes;Utilities|Electricity Connected|Yes;Utilities|Water Connected|Yes;Showing Requirements|24 Hour Notice|Yes;Showing Requirements|Showing Contact Phone|904-437-9722;Showing Requirements|Appointment Only|Yes;Parking Features|Carport|Yes;Appliances|Electric Range|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Electric Water Heater|Yes;"
gAAAAABm9wKyJyAC-6-55A7JD2yQ_-LZYUNxAdekamKN9YW68YpTyYs01ElJYcFFQFyPC0l_B13XcnjbGfEpIijQk3d2Qq-vmw==,Agency_Phone_Index_668,Listing_Agent_Index_988,Co-Listing_Agent_Index_1636,Rental,Residential Lease,Townhouse,TH,6/27/24,,A,8/3/24,2350,2350,Public Records,304,,,,$,St Augustine,FL,St. Johns,US,32092,2,,30.03936079,-81.57589182,1.21E+11,1749,2019,,,3,3,2,1,gAAAAABm9wKynH49NiNJ3o-zXCw2GxaIOTNPrfVOymRCTy0dEY1a0D5iwOj_Yfs9TWQJHcapIxn4gUcJY4IHhSFT6kF4TMSkjw==,,10/1/24 20:17,,,Excl Right to Lease,,Full Service,12 Months,,,2,,1.34,,,,Y,N,,U,0.04,,N,N,,,O,Y,,0,,N,,,,9,,"Additional Fee Includes|Other|Yes;Additional Lease Terms|12 Months|Yes;Association Amenities|Clubhouse|Yes;Association Amenities|Children's Pool|Yes;Association Amenities|Tennis Court(s)|Yes;Association Amenities|Park|Yes;Association Amenities|Jogging Path|Yes;Association Amenities|Fitness Center|Yes;Association Amenities|Dog Park|Yes;Deposits and Fees|Security Deposit|2,450;Deposits and Fees|Additional Fee|125;Deposits and Fees|Association Application Fee|30;Deposits and Fees|Pet Fee/Deposit|500;Deposits and Fees|Application Fee|75;Interior Features|Breakfast Bar|Yes;Interior Features|Split Bedrooms|Yes;Interior Features|Pantry|Yes;Laundry Features|In Unit|Yes;Levels|Two|Yes;Owner Pays|None|Yes;Pets Allowed|Breed Restrictions|Yes;Pets Allowed|Yes|Yes;Rent Includes|None|Yes;Special Listing Conditions|Third Party Approval|Yes;Special Listing Conditions|Smoking Prohibited|Yes;Tenant Pays|All Utilities|Yes;Rental Commission Term|Specific $ Amount|250;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Heat Pump|Yes;Pool Features|Community|Yes;Utilities|Cable Available|Yes;Utilities|Sewer Available|Yes;Utilities|Natural Gas Available|Yes;Utilities|Electricity Available|Yes;Showing Requirements|Appointment Only|Yes;Showing Requirements|Showing Service|Yes;Parking Features|Attached|Yes;Parking Features|Garage|Yes;Appliances|Dryer|Yes;Appliances|Washer|Yes;Appliances|Tankless Water Heater|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Gas Cooktop|Yes;Appliances|Electric Oven|Yes;Appliances|Dishwasher|Yes;"
gAAAAABm9wKyQU1-lew8N5m2VFT8LewZfxsfrw6smfRgLFkWHKGGoNJd_AR5O6FBrHD0l2TmjkcgvU7yADotaW7MaNlIFOMaiQ==,Agency_Phone_Index_737,Listing_Agent_Index_1082,,Rental,Residential Lease,Townhouse,TH,6/1/24,,A,6/15/24,1995,1995,Appraiser,22,,,,%,Jacksonville,FL,Duval,US,32216,2,2,30.25036339,-81.56701653,1.20E+11,1704,2005,,,3,3,2,1,gAAAAABm9wKyreTRKImaoeQVcW5BLokZR8Z1di8rFtNhhXJwcrjSqEHBDMEaQDjUytdXVWFbr2NO9WQDT4D1yink5N8uCwAmhA==,,10/11/24 23:47,,,Excl Right to Lease,,Limited Service,12 Months,,,1,,1.17,7/16/24,,,N,N,N,,0.09,,N,N,,,R,Y,,0,,N,,,,55,,"Additional Fee Includes|Lease Prep|Yes;Additional Lease Terms|12 Months|Yes;Association Amenities|Fitness Center|Yes;Association Amenities|Playground|Yes;Deposits and Fees|Security Deposit|1,995;Deposits and Fees|Additional Fee|75;Deposits and Fees|Pet Fee/Deposit|350;Deposits and Fees|Application Fee|45;Pets Allowed|Breed Restrictions|Yes;Pets Allowed|Size Limit|Yes;Pets Allowed|Call|Yes;Road Frontage Type|City Street|Yes;Road Surface Type|Asphalt|Yes;Tenant Pays|Electricity|Yes;Tenant Pays|All Utilities|Yes;Tenant Pays|Repairs|Yes;Tenant Pays|Water|Yes;Tenant Pays|Sewer|Yes;Tenant Pays|Pest Control|Yes;Rental Commission Term|Specific $ Amount|250;Water Source|Public|Yes;Cooling|Central Air|Yes;Cooling|Electric|Yes;Heating|Central|Yes;Heating|Electric|Yes;Pool Features|Community|Yes;Utilities|Electricity Available|Yes;Utilities|Water Available|Yes;Utilities|Sewer Available|Yes;Showing Requirements|24 Hour Notice|Yes;Showing Requirements|Showing Service|Yes;Parking Features|Attached|Yes;Parking Features|Garage|Yes;Appliances|Dryer|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Electric Range|Yes;Appliances|Dishwasher|Yes;Appliances|Disposal|Yes;"
